start_node,end_node,distance,route_id
stop1898,stop559,153,route104
stop559,stop557,230,route104
stop557,stop1723,585,route104
stop1723,stop714,363,route104
stop714,stop929,1328,route104
stop929,stop2440,1326,route104
stop2440,stop1521,627,route104
stop1521,stop1743,464,route104
stop1743,stop1516,73,route104
stop1516,stop1765,1067,route104
stop1765,stop1658,394,route104
stop1658,stop1190,1612,route104
stop1190,stop278,402,route104
stop278,stop282,423,route104
stop282,stop2592,385,route104
stop2592,stop2705,640,route104
stop2705,stop2260,368,route104
stop2260,stop1047,814,route104
stop1047,stop2185,493,route104
stop2185,stop1134,375,route104
stop1134,stop1101,368,route104
stop1101,stop853,254,route104
stop853,stop1659,515,route104
stop1659,stop2699,373,route104
stop2699,stop1359,407,route104
stop1359,stop1438,796,route104
stop1438,stop601,2258,route104
stop601,stop2649,363,route104
stop2649,stop7,433,route104
stop7,stop448,990,route104
stop448,stop2534,340,route104
stop2534,stop2721,700,route104
stop2721,stop2603,451,route104
stop2603,stop2205,867,route104
stop2205,stop2666,1286,route104
stop2666,stop1357,367,route104
stop1357,stop2204,1171,route104
stop2204,stop30,627,route104
stop30,stop772,407,route104
stop772,stop848,1370,route104
stop848,stop2229,591,route104
stop2229,stop1622,632,route104
stop1622,stop1294,394,route104
stop1294,stop2492,320,route104
stop2492,stop1585,210,route104
stop1003,stop1973,959,route130
stop1973,stop1174,752,route130
stop1174,stop2342,875,route130
stop2342,stop2623,2102,route130
stop2623,stop904,1670,route130
stop904,stop900,462,route130
stop900,stop314,943,route130
stop314,stop3,752,route130
stop3,stop478,798,route130
stop478,stop2258,352,route130
stop2258,stop1368,971,route130
stop1368,stop1128,575,route130
stop1128,stop759,973,route130
stop759,stop304,482,route130
stop304,stop1458,638,route130
stop1458,stop248,565,route130
stop248,stop844,1193,route130
stop844,stop2049,1387,route130
stop2049,stop2383,1486,route130
stop2383,stop2333,924,route130
stop2333,stop1694,854,route130
stop1694,stop2127,1217,route130
stop2127,stop1834,947,route130
stop1834,stop1852,421,route130
stop1852,stop2321,2302,route130
stop2321,stop2322,345,route130
stop2322,stop1314,7513,route130
stop1314,stop1590,980,route130
stop1590,stop729,1035,route130
stop729,stop2506,607,route130
stop2506,stop1336,1115,route130
stop1336,stop1825,445,route130
stop1825,stop2662,784,route130
stop2662,stop597,1615,route130
stop597,stop600,251,route130
stop600,stop370,2061,route130
stop370,stop1791,1338,route130
stop1791,stop443,1455,route130
stop443,stop446,642,route130
stop446,stop315,194,route130
stop315,stop573,400,route130
stop573,stop920,510,route130
stop920,stop1040,533,route130
stop1040,stop921,392,route130
stop921,stop1305,367,route130
stop1305,stop2410,263,route130
stop2410,stop586,213,route130
stop188,stop332,3245,route32
stop332,stop92,1848,route32
stop92,stop1180,716,route32
stop1180,stop61,233,route32
stop61,stop1030,635,route32
stop1030,stop1222,620,route32
stop1222,stop755,764,route32
stop755,stop667,336,route32
stop667,stop636,171,route32
stop636,stop665,461,route32
stop665,stop359,2376,route32
stop359,stop2176,1692,route32
stop2176,stop680,1592,route32
stop680,stop413,547,route32
stop413,stop1581,2533,route32
stop1581,stop1588,826,route32
stop2405,stop731,1617,route71
stop731,stop195,1331,route71
stop195,stop1603,3699,route71
stop1603,stop2146,1173,route71
stop2146,stop1206,571,route71
stop1206,stop1428,873,route71
stop1428,stop972,876,route71
stop972,stop2583,1225,route71
stop2583,stop870,529,route71
stop870,stop229,598,route71
stop229,stop210,2125,route71
stop210,stop2144,1196,route71
stop2144,stop2139,522,route71
stop2139,stop828,976,route71
stop828,stop2201,668,route71
stop2201,stop2385,602,route71
stop2385,stop789,290,route71
stop789,stop1361,367,route71
stop1361,stop2272,696,route71
stop2272,stop589,303,route71
stop589,stop2443,817,route71
stop940,stop417,1301,route434
stop417,stop2387,168,route434
stop2387,stop401,158,route434
stop401,stop2633,432,route434
stop2633,stop358,533,route434
stop358,stop1330,782,route434
stop1330,stop1872,153,route434
stop1872,stop956,1628,route434
stop956,stop1351,1114,route434
stop1351,stop1734,868,route434
stop1734,stop1462,1786,route434
stop1462,stop2208,4693,route434
stop2208,stop1184,1482,route434
stop1184,stop2696,2894,route434
stop2696,stop1509,515,route434
stop1509,stop47,1302,route434
stop47,stop387,1135,route434
stop2488,stop238,643,route434
stop238,stop239,303,route434
stop239,stop2695,1341,route434
stop2695,stop1185,2860,route434
stop1185,stop1635,667,route434
stop1635,stop2206,720,route434
stop2206,stop2714,2271,route434
stop2714,stop1713,638,route434
stop1713,stop2228,676,route434
stop2228,stop1461,2795,route434
stop1461,stop1735,1784,route434
stop1735,stop1352,839,route434
stop1352,stop957,1156,route434
stop957,stop1329,1702,route434
stop1329,stop357,738,route434
stop357,stop2632,509,route434
stop1461,stop1881,1994,route439
stop1881,stop2664,1433,route439
stop2664,stop2134,1879,route439
stop2134,stop1924,417,route439
stop1924,stop2453,1001,route439
stop2514,stop2368,2993,route825
stop2368,stop2465,1745,route825
stop2465,stop1903,3003,route825
stop1903,stop1273,4147,route825
stop1273,stop939,2630,route825
stop939,stop34,86,route825
stop35,stop2496,3220,route825
stop2496,stop1904,3472,route825
stop1904,stop2464,3172,route825
stop2464,stop2369,1731,route825
stop2369,stop2513,2891,route825
stop34,stop2072,779,route823
stop2072,stop2083,2197,route823
stop2083,stop1548,529,route823
stop1548,stop1278,1313,route823
stop1278,stop1844,664,route823
stop1844,stop2689,736,route823
stop2689,stop2677,934,route823
stop2677,stop1508,490,route823
stop1508,stop2098,1972,route823
stop2098,stop1186,800,route823
stop1003,stop1973,959,route822
stop1973,stop1174,752,route822
stop1174,stop2342,875,route822
stop2342,stop2623,2102,route822
stop2623,stop904,1670,route822
stop904,stop900,462,route822
stop900,stop314,943,route822
stop314,stop3,752,route822
stop3,stop478,798,route822
stop478,stop2258,352,route822
stop2258,stop1368,971,route822
stop1368,stop1128,575,route822
stop1128,stop759,973,route822
stop759,stop304,482,route822
stop304,stop1458,638,route822
stop1458,stop248,565,route822
stop248,stop302,1288,route822
stop302,stop532,3379,route822
stop532,stop524,2740,route822
stop524,stop938,4810,route822
stop938,stop34,60,route822
stop34,stop939,86,route822
stop939,stop523,4808,route822
stop523,stop533,2740,route822
stop533,stop301,3374,route822
stop301,stop2337,1100,route822
stop2337,stop37,221,route822
stop37,stop249,369,route822
stop249,stop1457,579,route822
stop1457,stop303,609,route822
stop303,stop761,494,route822
stop761,stop1127,986,route822
stop1127,stop1369,577,route822
stop1369,stop537,317,route822
stop537,stop2257,654,route822
stop2257,stop479,338,route822
stop479,stop2,816,route822
stop2,stop905,1424,route822
stop905,stop899,268,route822
stop899,stop2325,455,route822
stop2325,stop2624,1665,route822
stop2624,stop2344,2067,route822
stop2344,stop2246,533,route822
stop2246,stop1964,434,route822
stop1964,stop1974,753,route822
stop1974,stop1002,913,route822
stop1243,stop1888,936,route15
stop1888,stop2604,958,route15
stop2604,stop1316,837,route15
stop1316,stop2037,1518,route15
stop2037,stop232,1108,route15
stop232,stop1151,544,route15
stop1151,stop1167,464,route15
stop1167,stop1099,232,route15
stop1099,stop1144,303,route15
stop1144,stop1312,470,route15
stop1312,stop1183,499,route15
stop1183,stop4,4555,route15
stop1061,stop591,403,route309
stop591,stop2319,621,route309
stop2319,stop221,695,route309
stop221,stop2644,202,route309
stop2644,stop800,807,route309
stop800,stop139,408,route309
stop139,stop952,379,route309
stop952,stop100,273,route309
stop100,stop1386,1416,route309
stop1386,stop2482,894,route309
stop2482,stop1966,282,route309
stop1966,stop1003,733,route309
stop1003,stop1973,959,route309
stop1973,stop1174,752,route309
stop1174,stop2343,749,route309
stop2343,stop1804,913,route309
stop1804,stop2474,1068,route309
stop2474,stop1373,1062,route309
stop1373,stop1091,1694,route309
stop1091,stop2032,2334,route309
stop2032,stop2179,569,route309
stop2179,stop266,835,route309
stop266,stop1730,470,route309
stop1730,stop1367,429,route309
stop1367,stop2093,600,route309
stop2093,stop2094,294,route309
stop5,stop1871,1796,route15
stop1871,stop1184,1589,route15
stop1184,stop1182,1198,route15
stop1182,stop1313,389,route15
stop1313,stop1166,1111,route15
stop1166,stop1152,466,route15
stop1152,stop233,532,route15
stop233,stop2038,1141,route15
stop2038,stop1315,1531,route15
stop1315,stop2605,831,route15
stop2605,stop1889,955,route15
stop1889,stop1244,933,route15
stop1244,stop1441,513,route15
stop1441,stop963,449,route15
stop1243,stop1888,936,route614
stop1888,stop2604,958,route614
stop2604,stop1316,837,route614
stop1316,stop2037,1518,route614
stop2037,stop232,1108,route614
stop232,stop1151,544,route614
stop1151,stop1167,464,route614
stop1167,stop1099,232,route614
stop1099,stop1144,303,route614
stop1144,stop1312,470,route614
stop1312,stop1183,499,route614
stop1183,stop2112,3393,route614
stop2112,stop2616,2045,route614
stop2616,stop1111,2664,route614
stop1111,stop1212,1994,route614
stop1212,stop2684,894,route614
stop2684,stop1178,548,route614
stop1178,stop1862,1122,route614
stop1862,stop1119,2515,route614
stop1119,stop1378,875,route614
stop1378,stop1377,591,route614
stop1377,stop2126,525,route614
stop2126,stop1375,282,route614
stop1375,stop2335,871,route614
stop2335,stop2103,714,route614
stop2103,stop293,952,route614
stop293,stop292,357,route614
stop292,stop1941,569,route614
stop1941,stop2018,682,route614
stop668,stop561,1228,route852
stop561,stop2043,1056,route852
stop2043,stop123,574,route852
stop123,stop715,2241,route852
stop715,stop2408,1396,route852
stop2408,stop731,487,route852
stop731,stop195,1331,route852
stop2044,stop1982,1125,route865
stop1982,stop2535,524,route865
stop2535,stop2204,502,route865
stop2204,stop30,627,route865
stop30,stop772,407,route865
stop772,stop777,942,route865
stop777,stop2310,1298,route865
stop2310,stop2307,1050,route865
stop2306,stop2311,989,route865
stop2311,stop776,1322,route865
stop776,stop681,537,route865
stop681,stop773,278,route865
stop773,stop2535,1004,route865
stop2535,stop2635,984,route865
stop2635,stop2665,514,route865
stop2665,stop2715,1321,route865
stop767,stop2597,236,route774
stop2597,stop2655,384,route774
stop2655,stop2297,268,route774
stop2297,stop2172,324,route774
stop2172,stop469,351,route774
stop469,stop440,175,route774
stop440,stop1602,508,route774
stop1602,stop616,347,route774
stop616,stop337,521,route774
stop337,stop2279,412,route774
stop2279,stop856,356,route774
stop856,stop1598,583,route774
stop1598,stop58,699,route774
stop58,stop1307,641,route774
stop1307,stop55,543,route774
stop55,stop831,974,route774
stop831,stop1149,579,route774
stop1149,stop594,273,route774
stop594,stop1959,328,route774
stop1959,stop1275,273,route774
stop1275,stop1823,652,route774
stop1823,stop1988,344,route774
stop1988,stop1678,804,route774
stop1678,stop2109,298,route774
stop2109,stop2041,814,route774
stop2041,stop706,1063,route774
stop706,stop2731,732,route774
stop2731,stop1610,1875,route774
stop1610,stop2365,579,route774
stop2365,stop1227,1420,route774
stop1227,stop939,4083,route774
stop939,stop523,4808,route774
stop523,stop533,2740,route774
stop533,stop301,3374,route774
stop301,stop2337,1100,route774
stop2337,stop2338,278,route774
stop2338,stop1001,1142,route774
stop1001,stop1774,595,route774
stop2308,stop2311,1575,route27
stop2311,stop776,1322,route27
stop776,stop681,537,route27
stop681,stop773,278,route27
stop773,stop2535,1004,route27
stop2535,stop2635,984,route27
stop2635,stop2665,514,route27
stop2665,stop2602,2164,route27
stop2602,stop2720,414,route27
stop2720,stop447,1038,route27
stop447,stop646,314,route27
stop646,stop4,695,route27
stop7,stop448,990,route27
stop448,stop2534,340,route27
stop2534,stop2603,1151,route27
stop2603,stop2205,867,route27
stop2205,stop2666,1286,route27
stop2666,stop1357,367,route27
stop1357,stop2204,1171,route27
stop2204,stop30,627,route27
stop30,stop772,407,route27
stop772,stop777,942,route27
stop777,stop2309,2683,route27
stop1982,stop2535,524,route7
stop2535,stop2635,984,route7
stop2635,stop2665,514,route7
stop2665,stop2602,2164,route7
stop2602,stop2720,414,route7
stop2720,stop447,1038,route7
stop447,stop646,314,route7
stop646,stop4,695,route7
stop774,stop46,791,route10
stop46,stop2695,1602,route10
stop2090,stop2095,93,route309
stop2095,stop1366,987,route309
stop1366,stop685,322,route309
stop685,stop265,494,route309
stop265,stop2178,564,route309
stop2178,stop1,834,route309
stop1,stop1092,2312,route309
stop1092,stop2336,1729,route309
stop2336,stop2475,1035,route309
stop2475,stop1803,649,route309
stop1803,stop2327,1353,route309
stop2327,stop2249,298,route309
stop2249,stop2244,143,route309
stop2244,stop2246,292,route309
stop2246,stop1964,434,route309
stop1964,stop1974,753,route309
stop1974,stop1002,913,route309
stop1002,stop2481,1063,route309
stop2481,stop1971,174,route309
stop1971,stop101,1942,route309
stop101,stop953,459,route309
stop953,stop138,365,route309
stop138,stop799,399,route309
stop799,stop2645,783,route309
stop2645,stop222,257,route309
stop222,stop2318,701,route309
stop2318,stop590,590,route309
stop590,stop1062,406,route309
stop1062,stop1943,786,route309
stop1943,stop189,304,route309
stop189,stop201,155,route309
stop201,stop2285,303,route309
stop5,stop1871,1796,route10
stop1871,stop1184,1589,route10
stop1184,stop2696,2894,route10
stop2696,stop48,1638,route10
stop48,stop774,763,route10
stop5,stop1871,1796,route21
stop1871,stop1184,1589,route21
stop1184,stop2696,2894,route21
stop2696,stop1509,515,route21
stop1509,stop241,1086,route21
stop241,stop237,262,route21
stop237,stop2487,667,route21
stop2487,stop386,296,route21
stop386,stop503,350,route21
stop503,stop2079,127,route21
stop1863,stop1177,1133,route629
stop1177,stop560,550,route629
stop560,stop1213,894,route629
stop1213,stop1341,733,route629
stop1341,stop1110,1236,route629
stop1110,stop2697,1303,route629
stop2697,stop2617,1517,route629
stop2617,stop2511,4639,route629
stop2511,stop1182,705,route629
stop1182,stop1313,389,route629
stop197,stop332,3131,route291
stop332,stop2290,4150,route291
stop2290,stop347,528,route291
stop347,stop1925,5045,route291
stop1925,stop580,636,route291
stop580,stop578,1877,route291
stop578,stop518,833,route291
stop518,stop1185,1757,route291
stop1185,stop1635,667,route291
stop1635,stop2206,720,route291
stop2206,stop2714,2271,route291
stop2714,stop1713,638,route291
stop1713,stop2228,676,route291
stop2228,stop806,18898,route291
stop806,stop814,5705,route291
stop814,stop1225,4487,route291
stop1225,stop1078,2208,route291
stop1227,stop2730,1034,route126
stop2730,stop1446,807,route126
stop1446,stop2040,984,route126
stop2040,stop2110,797,route126
stop2110,stop1679,384,route126
stop1679,stop1987,739,route126
stop1987,stop1824,349,route126
stop1824,stop1274,655,route126
stop1274,stop1958,269,route126
stop1958,stop595,333,route126
stop595,stop1148,269,route126
stop1148,stop829,575,route126
stop829,stop54,1012,route126
stop54,stop65,405,route126
stop65,stop1293,566,route126
stop1293,stop1813,271,route126
stop1813,stop1597,212,route126
stop1597,stop855,680,route126
stop855,stop2278,358,route126
stop2278,stop338,417,route126
stop338,stop617,486,route126
stop617,stop1601,374,route126
stop1601,stop439,509,route126
stop439,stop468,171,route126
stop468,stop2173,353,route126
stop2173,stop2298,328,route126
stop2298,stop2654,265,route126
stop2654,stop2598,384,route126
stop2598,stop766,237,route126
stop766,stop1769,334,route126
stop1769,stop318,310,route126
stop318,stop1364,414,route126
stop1364,stop2302,486,route126
stop2302,stop2703,483,route126
stop2703,stop53,374,route126
stop52,stop2704,379,route126
stop2704,stop2301,482,route126
stop2301,stop1365,487,route126
stop1365,stop317,414,route126
stop317,stop1768,284,route126
stop1768,stop767,272,route126
stop767,stop2597,236,route126
stop2597,stop2655,384,route126
stop2655,stop2297,268,route126
stop2297,stop2172,324,route126
stop2172,stop469,351,route126
stop469,stop440,175,route126
stop440,stop1602,508,route126
stop1602,stop616,347,route126
stop616,stop337,521,route126
stop337,stop2279,412,route126
stop2279,stop856,356,route126
stop856,stop1598,583,route126
stop1598,stop58,699,route126
stop58,stop1307,641,route126
stop1307,stop55,543,route126
stop55,stop831,974,route126
stop831,stop1147,579,route126
stop1147,stop594,273,route126
stop594,stop1959,328,route126
stop1959,stop1275,273,route126
stop1275,stop1823,652,route126
stop1823,stop1988,344,route126
stop1988,stop1678,804,route126
stop1678,stop2109,298,route126
stop2109,stop2041,814,route126
stop2041,stop706,1063,route126
stop706,stop2730,731,route126
stop2730,stop1229,1032,route126
stop1229,stop1612,596,route126
stop2285,stop2528,1375,route133
stop2528,stop1929,2537,route133
stop1929,stop2658,358,route133
stop2658,stop1000,1357,route133
stop1000,stop2345,1147,route133
stop2345,stop844,595,route133
stop844,stop2049,1387,route133
stop2049,stop2383,1486,route133
stop2383,stop2333,924,route133
stop2333,stop1694,854,route133
stop1694,stop2127,1217,route133
stop2127,stop1834,947,route133
stop1834,stop1852,421,route133
stop1852,stop2321,2302,route133
stop2321,stop2322,345,route133
stop2322,stop1314,7513,route133
stop1314,stop1590,980,route133
stop1590,stop729,1035,route133
stop729,stop2506,607,route133
stop2506,stop1336,1115,route133
stop1336,stop1825,445,route133
stop1825,stop2662,784,route133
stop2662,stop597,1615,route133
stop597,stop600,251,route133
stop600,stop370,2061,route133
stop370,stop1791,1338,route133
stop1791,stop443,1455,route133
stop443,stop446,642,route133
stop446,stop315,194,route133
stop315,stop573,400,route133
stop573,stop920,510,route133
stop920,stop1040,533,route133
stop1040,stop921,392,route133
stop921,stop1305,367,route133
stop1305,stop2410,263,route133
stop2410,stop586,213,route133
stop586,stop52,350,route133
stop52,stop2704,379,route133
stop2704,stop2301,482,route133
stop2301,stop1365,487,route133
stop1365,stop317,414,route133
stop317,stop1768,284,route133
stop1768,stop767,272,route133
stop767,stop2597,236,route133
stop2597,stop2655,384,route133
stop2655,stop2297,268,route133
stop2297,stop2172,324,route133
stop2172,stop469,351,route133
stop469,stop440,175,route133
stop440,stop1602,508,route133
stop1602,stop616,347,route133
stop616,stop337,521,route133
stop337,stop2279,412,route133
stop2279,stop856,356,route133
stop856,stop1598,583,route133
stop1598,stop58,699,route133
stop58,stop1307,641,route133
stop1307,stop55,543,route133
stop55,stop831,974,route133
stop831,stop1149,579,route133
stop1149,stop594,273,route133
stop594,stop1959,328,route133
stop1959,stop1275,273,route133
stop1275,stop1823,652,route133
