start_node,end_node,distance,route_id,route_short_name
stop1,stop1092,2312,"route62, route60, route706, route776, route588, route51, route732, route855, route607, route213, route854, route309, route771, route850, route573, route829, route132, route828, route25","CTA 530, CTA 1005, CTA 1032, CTA 999-1055, Microbus, Minibus"
stop1,stop2033,123,"route531, route116, route532, route64, route522, route191","Microbus, CTA 204, CTA 1122, Minibus"
stop10,stop2476,589,route221,CTA 1056
stop100,stop1386,1416,"route309, route306, route213, route145, route834, route772","Microbus, CTA 999-1055"
stop100,stop1745,2069,"route511, route295","Minibus, Microbus"
stop1000,stop2345,1147,"route590, route594, route723, route781, route228, route777, route293, route234, route299, route185, route318, route714, route738, route702, route707, route686, route700, route117, route709, route238, route133","CTA 1020, CTA 1047, Microbus, CTA 1043s, CTA 370, CTA 1043, CTA 1013"
stop1000,stop249,1450,route489,Microbus
stop1001,stop1774,595,"route774, route573, route723, route299, route702","Microbus, CTA 1043s"
stop1001,stop1775,540,route781,Microbus
stop1001,stop1776,250,"route293, route590, route238, route133, route714, route185, route686, route228, route117, route709","CTA 1020, CTA 1047, Microbus, CTA 370, CTA 1043, CTA 1013"
stop1002,stop1968,782,"route219, route257, route732, route129, route829, route815, route814","CTA 1017, CTA 953, CTA 1032, Microbus, CTA 211, Minibus"
stop1002,stop2481,1063,"route832, route607, route771, route213, route363, route512, route828, route833, route309","CTA 1005, CTA 999-1055, Microbus, CTA 917, CTA 212, Minibus"
stop1003,stop1973,959,"route257, route832, route62, route822, route512, route684, route219, route732, route831, route55, route129, route827, route814, route363, route704, route213, route130, route220, route833, route364, route309, route771, route829, route815, route828, route775","CTA 1017, CTA 953, CTA 1032, CTA 999-1055, Microbus, CTA 917, CTA 211, CTA 212, Minibus"
stop1004,stop217,492,route778,Box
stop1005,stop236,566,route778,Box
stop1006,stop2106,288,"route219, route257, route236, route549, route240, route222, route395, route409, route239, route220, route277, route418, route836, route252, route223, route253","CTA 953, Minibus 215, Minibus 3, Minibus 88, Microbus, CTA 114-1060, CTA 2002, CTA 211, CTA 24s, CTA 82"
stop1007,stop1298,347,"route219, route257, route236, route549, route485, route211, route222, route395, route277, route836, route252, route223, route253","CTA 1128, CTA 953, Minibus 215, Minibus 3, Minibus 88, Microbus, CTA 114-1060, CTA 2002, CTA 211, CTA 82"
stop1007,stop485,357,"route424, route420, route422, route409, route862, route418",Microbus
stop1008,stop1009,564,"route345, route462, route501, route689, route764, route571, route218, route691, route280, route650, route584, route251, route805, route731, route360, route605, route255, route42, route348, route242, route47, route765, route651, route394, route397, route56, route244, route528, route259, route231, route806, route270, route602, route83, route791, route600, route265","Minibus 80, Minibus 55, Minibus 31, Minibus 44, Green G2, Minibus 76, CTA 1083, CTA 35-1121, Minibus 127, Minibus 200, Minibus 21-255, Minibus 47, Minibus 112, CTA 92-1050, Minibus 11, Minibus 51, Minibus 219, Microbus, CTA 1081, Minibus 106, CTA 507, Minibus 606, Minibus 421, Minibus 500, CTA 330, Minibus 211, Minibus 14, CTA 945-1082, CTA 794, CTA 940s, Minibus 6, Agyad Gm2, CTA 1087, Minibus 116, Minibus 4, Minibus 146, CTA 400-1036"
stop1008,stop2631,224,route249,CTA 39-1007
stop1009,stop1254,5080,route292,Microbus
stop1009,stop1742,337,"route345, route462, route501, route689, route764, route265, route355, route516, route571, route218, route691, route280, route858, route650, route584, route251, route310, route805, route731, route360, route605, route232, route255, route42, route797, route348, route242, route47, route765, route471, route503, route651, route397, route56, route352, route394, route244, route528, route259, route231, route806, route270, route602, route83, route791, route600, route247","Minibus 80, Minibus 55, Minibus 31, Minibus 44, Minibus 151, Green G2, Minibus 30, Minibus 76, CTA 1083, CTA 35-1121, Minibus 127, Minibus 200, Minibus 21-255, Minibus 202, CTA 828, CTA 1076, Minibus 47, Minibus 112, CTA 92-1050, Minibus 11, Minibus 160, Minibus 51, Minibus 219, Minibus 158, Microbus, CTA 1081, Minibus 106, CTA 507, Minibus 606, Minibus 421, Minibus 500, CTA 330, Minibus 211, Minibus 14, CTA 945-1082, CTA 794, CTA 940s, Minibus 6, CTA 1063, Agyad Gm2, CTA 1087, Minibus 116, Minibus 4, Minibus 146, CTA 400-1036"
stop1009,stop2631,784,route606,Minibus 305
stop101,stop953,459,"route309, route306, route145, route295, route834, route772","Microbus, CTA 999-1055"
stop1010,stop2432,1293,"route858, route197, route310, route516","Microbus, Minibus 151, Minibus 30, CTA 1063"
stop1010,stop2631,772,"route345, route555, route501, route689, route764, route249, route571, route218, route691, route280, route650, route584, route251, route230, route805, route731, route360, route255, route42, route344, route348, route242, route47, route765, route524, route503, route651, route397, route606, route56, route394, route244, route269, route259, route231, route806, route461, route83, route791, route600, route265","Minibus 80, Minibus 55, Minibus 44, Green G2, Minibus 76, CTA 1083, CTA 35-1121, Minibus 127, Minibus 200, Minibus 21-255, CTA 1076, CTA 356, Minibus 305, Minibus 112, CTA 92-1050, Minibus 11, Minibus 51, Minibus 219, Microbus, CTA 1081, Minibus 106, CTA 507, Minibus 606, Minibus 421, Minibus 28, Minibus 500, CTA 330, Minibus 211, Minibus 14, CTA 945-1082, CTA 794, CTA 39-1007, CTA 940s, Minibus 6, Agyad Gm2, CTA 1087, Minibus 116, Minibus 4, Minibus 60, Minibus 146, CTA 400-1036"
stop1010,stop529,761,"route250, route797, route182, route602, route802, route195, route352, route232, route221, route632, route247","Minibus 31, Minibus 158, Microbus, CTA 130, CTA 1056, CTA 46, CTA 828"
stop1011,stop657,1504,"route356, route357, route359, route358, route360, route159, route362, route355, route353, route354","CTA 810, CTA 7, CTA 820, Minibus 203, Minibus 424, Minibus 380, Minibus 500, Minibus 78, Minibus 14, Minibus 160"
stop1012,stop1655,538,"route4, route1",Box
stop1013,stop708,677,"route4, route1",Box
stop1014,stop1764,427,"route494, route717, route176, route239, route358","CTA 1144, CTA 967, CTA 820, CTA 24s, CTA 1143"
stop1015,stop1263,520,"route494, route717, route176, route358, route510","CTA 1144, CTA 967, CTA 992, CTA 820, CTA 1143"
stop1016,stop186,427,"route147, route152","Microbus, CTA 700-1065"
