start_node,end_node,distance,route_id,route_short_name
stop1,stop2032,18.58793654,route871,walking
stop1,stop2033,122.6529381,route872,walking
stop1,stop2034,101.3031253,route873,walking
stop10,stop11,26.3394951,route908,walking
stop100,stop101,179.2002067,route1307,walking
stop100,stop102,221.4389742,route1308,walking
stop100,stop1812,136.4610054,route1311,walking
stop100,stop95,83.49641968,route1302,walking
stop100,stop952,272.5473864,route1309,walking
stop100,stop953,286.1232411,route1310,walking
stop100,stop96,135.2855243,route1303,walking
stop100,stop97,145.3690945,route1304,walking
stop100,stop98,131.2281484,route1305,walking
stop100,stop99,345.0185747,route1306,walking
stop1000,stop1001,11.32286886,route4110,walking
stop1000,stop1776,247.2705614,route4111,walking
stop1000,stop1777,268.7518614,route4112,walking
stop1000,stop1779,277.1548872,route4113,walking
stop1000,stop998,319.956196,route4108,walking
stop1000,stop999,300.6385318,route4109,walking
stop1001,stop1000,11.32286886,route4116,walking
stop1001,stop1776,249.6602345,route4117,walking
stop1001,stop1777,272.4778317,route4118,walking
stop1001,stop1779,280.9869989,route4119,walking
stop1001,stop998,313.5041518,route4114,walking
stop1001,stop999,293.0596318,route4115,walking
stop1002,stop1003,54.49108989,route4120,walking
stop1003,stop1002,54.49108989,route4121,walking
stop1004,stop1005,16.31231057,route4122,walking
stop1005,stop1004,16.31231057,route4123,walking
stop1006,stop1007,11.65202765,route4126,walking
stop1006,stop1297,357.3236045,route4127,walking
stop1006,stop1298,348.9393534,route4128,walking
stop1006,stop2105,297.216291,route4129,walking
stop1006,stop2106,287.6665461,route4130,walking
stop1006,stop2107,339.4951933,route4131,walking
stop1006,stop485,350.1495405,route4124,walking
stop1006,stop486,354.5069957,route4125,walking
stop1007,stop1006,11.65202765,route4134,walking
stop1007,stop1297,356.307563,route4135,walking
stop1007,stop1298,347.4882166,route4136,walking
stop1007,stop2105,300.1965808,route4137,walking
stop1007,stop2106,291.1174359,route4138,walking
stop1007,stop2107,345.4716069,route4139,walking
stop1007,stop485,356.5786887,route4132,walking
stop1007,stop486,361.2811428,route4133,walking
stop1008,stop2631,223.8290385,route4142,walking
stop1008,stop528,332.9727845,route4140,walking
stop1008,stop529,367.4205449,route4141,walking
stop1009,stop1010,18.78142635,route4143,walking
stop1009,stop1742,337.1941491,route4144,walking
stop1009,stop1744,244.1878394,route4145,walking
stop1009,stop2747,388.5498689,route4146,walking
stop101,stop100,179.2002067,route1317,walking
stop101,stop102,193.4943637,route1318,walking
stop101,stop1812,164.4131341,route1319,walking
stop101,stop2630,387.1904039,route1320,walking
stop101,stop95,212.236498,route1312,walking
stop101,stop96,50.07554481,route1313,walking
stop101,stop97,43.69148211,route1314,walking
stop101,stop98,53.98726397,route1315,walking
stop101,stop99,182.9320803,route1316,walking
stop1010,stop1009,18.78142635,route4147,walking
stop1010,stop1742,337.9399461,route4148,walking
stop1010,stop1744,243.7978071,route4149,walking
stop1012,stop1013,15.94887952,route4150,walking
stop1012,stop1767,298.6086273,route4151,walking
stop1013,stop1012,15.94887952,route4152,walking
stop1013,stop1767,299.6269329,route4153,walking
stop1014,stop1015,26.3112003,route4154,walking
stop1015,stop1014,26.3112003,route4155,walking
stop1016,stop1058,335.6471924,route4157,walking
stop1016,stop1059,278.5410292,route4158,walking
stop1016,stop284,127.437556,route4156,walking
stop1017,stop1018,11.43098038,route4159,walking
stop1017,stop2097,388.0980729,route4160,walking
stop1018,stop1017,11.43098038,route4161,walking
stop1018,stop2097,380.0705098,route4162,walking
stop1019,stop1020,28.31647834,route4163,walking
stop102,stop100,221.4389742,route1326,walking
stop102,stop101,193.4943637,route1327,walking
stop102,stop1812,86.03284305,route1329,walking
stop102,stop95,300.5163745,route1321,walking
stop102,stop952,396.6303115,route1328,walking
stop102,stop96,164.4040742,route1322,walking
stop102,stop97,161.4308652,route1323,walking
stop102,stop98,206.0939644,route1324,walking
stop102,stop99,220.9916492,route1325,walking
stop1020,stop1019,28.31647834,route4164,walking
stop1021,stop1022,251.6728467,route4165,walking
stop1021,stop1023,351.9469073,route4166,walking
stop1021,stop1024,176.183316,route4167,walking
stop1021,stop1025,174.8638968,route4168,walking
stop1021,stop1026,361.1786551,route4169,walking
stop1021,stop1223,220.3319329,route4170,walking
stop1021,stop1224,292.2691231,route4171,walking
stop1021,stop2784,259.9379187,route4172,walking
stop1021,stop2811,261.249325,route4173,walking
stop1022,stop1021,251.6728467,route4176,walking
stop1022,stop1023,103.6171099,route4177,walking
stop1022,stop1024,314.0205655,route4178,walking
stop1022,stop1025,275.78027,route4179,walking
stop1022,stop1026,111.8875968,route4180,walking
stop1022,stop112,280.2252861,route4174,walking
stop1022,stop113,318.392141,route4175,walking
stop1022,stop2784,276.6085783,route4181,walking
stop1022,stop2811,278.3177321,route4182,walking
stop1023,stop1021,351.9469073,route4185,walking
stop1023,stop1022,103.6171099,route4186,walking
stop1023,stop1025,374.331632,route4187,walking
stop1023,stop1026,10.11114402,route4188,walking
stop1023,stop112,184.0076672,route4183,walking
stop1023,stop113,242.7377801,route4184,walking
stop1023,stop2784,360.8928127,route4189,walking
stop1023,stop2811,362.4911523,route4190,walking
stop1024,stop1021,176.183316,route4191,walking
