route_id,route_short_name,direction_id,stops
route1,Box,0,"stop14, stop1122, stop1712, stop1415, stop582, stop891, stop1355, stop134, stop707, stop1012, stop1655, stop1770, stop318, stop1364, stop2302, stop2703, stop53, stop12, stop1122, stop1712, stop1415, stop582, stop891, stop1355, stop134, stop707, stop1012, stop1655, stop1770, stop318, stop1364, stop2302, stop2703, stop53, stop587, stop2411, stop1305"
route1,Box,1,"stop53, stop2704, stop2301, stop1365, stop317, stop1768, stop766, stop1013, stop708, stop135, stop890, stop19, stop1854, stop583, stop1416, stop13, stop1305, stop2410, stop586, stop52, stop2704, stop2301, stop1365, stop317, stop1768, stop766, stop1013, stop708, stop135, stop890, stop19, stop1854, stop583, stop1416, stop12"
route10,Microbus,0,"stop5, stop1871, stop1184, stop2696, stop48, stop774"
route10,Microbus,1,"stop774, stop46, stop2695"
route100,CTA 1078,0,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop8, stop540, stop2274, stop832, stop1732, stop2199, stop1296, stop2281, stop186, stop284, stop1058, stop280, stop2052, stop282, stop2706, stop2591, stop278, stop763, stop2288, stop2536, stop90, stop87, stop1258, stop84, stop89, stop1400, stop331, stop1479, stop567, stop1254, stop2295, stop2286, stop207, stop1661, stop1452, stop103, stop2472, stop1715, stop1702, stop2064, stop1430, stop514, stop512, stop467, stop1939, stop2347, stop723, stop2486, stop2589, stop1247, stop1795, stop1282, stop1893"
route100,CTA 1078,1,"stop1893, stop1794, stop2590, stop2485, stop1280, stop724, stop2348, stop1937, stop1940, stop466, stop511, stop513, stop1431, stop2063, stop2367, stop1337, stop106, stop2584, stop208, stop2283, stop2294, stop1255, stop568, stop1478, stop213, stop329, stop643, stop82, stop88, stop86, stop2537, stop2287, stop762, stop279, stop2053, stop281, stop2291, stop40, stop1059, stop1016, stop187, stop2280, stop1295, stop2200, stop1733, stop566, stop833, stop2275, stop541, stop4, stop448, stop2534, stop2603, stop2205, stop2666, stop1357, stop2204, stop30, stop772, stop777, stop848, stop2229, stop1622, stop1294, stop2492, stop1585, stop31"
route101,Minibus 45,0,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop4, stop2648, stop602, stop1725, stop728, stop1981, stop519, stop1296, stop2281, stop877, stop2253, stop1045, stop2260, stop2706, stop2591, stop283, stop278, stop764, stop981, stop2462, stop1911, stop1288, stop1840, stop174, stop2398, stop747, stop1817, stop251, stop1946, stop2587, stop1219, stop1287, stop2347, stop723, stop2486, stop2589, stop1247, stop1795, stop1282, stop1893"
route102,Minibus 1,0,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop8, stop540, stop2274, stop832, stop1732, stop2199, stop1296, stop80, stop852, stop1102, stop1133, stop2186, stop1045, stop2262, stop632, stop876, stop1484, stop2566, stop858, stop62, stop1799, stop880, stop437, stop2356, stop1475, stop2426, stop2568, stop1623, stop1142, stop2130, stop1269, stop2224, stop2447, stop1020, stop835, stop2061, stop2630, stop97, stop556"
route102,Minibus 1,1,"stop1900, stop96, stop2629, stop836, stop1019, stop1268, stop2129, stop1143, stop1624, stop2569, stop2427, stop1474, stop2358, stop612, stop436, stop881, stop1800, stop456, stop1752, stop1485, stop2261, stop1047, stop2185, stop1134, stop1101, stop853, stop2699, stop1659, stop79, stop1295, stop2200, stop1733, stop566, stop833, stop2275, stop541, stop4, stop448, stop2534, stop2721, stop2603, stop2205, stop2666, stop1357, stop2204, stop30, stop772, stop848, stop2229, stop1622, stop1294"
route103,Minibus 142,0,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop4, stop2648, stop602, stop868, stop1822, stop2232, stop333, stop1049, stop193, stop697, stop1235, stop171, stop2133, stop2051, stop356, stop858, stop62, stop1799, stop880, stop437, stop2356, stop1475, stop2426, stop2568, stop1623, stop1142, stop2130, stop1269, stop2224, stop2447, stop1020, stop835, stop2061, stop2630, stop97, stop559, stop1898"
route103,Minibus 142,1,"stop1898, stop559, stop556, stop1812, stop98, stop1927, stop204, stop2113, stop366, stop365, stop1268, stop2129, stop1143, stop1624, stop2569, stop2427, stop1474, stop2358, stop612, stop1563, stop436, stop881, stop1800, stop2567, stop2131, stop170, stop1236, stop696, stop2261, stop1045, stop1050, stop334, stop2231, stop867, stop765, stop601, stop2649, stop7, stop448, stop2534, stop2603, stop2205, stop2666, stop1357, stop2204, stop1983"
route104,Minibus 304,0,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop4, stop2648, stop602, stop1437, stop1358, stop2700, stop1660, stop80, stop852, stop1102, stop1133, stop2186, stop1045, stop2262, stop2706, stop2591, stop283, stop1191, stop1657, stop1766, stop1520, stop2439, stop1839, stop928, stop141, stop713, stop343, stop458, stop556, stop559"
route104,Minibus 304,1,"stop1898, stop559, stop557, stop1723, stop714, stop929, stop2440, stop1521, stop1743, stop1516, stop1765, stop1658, stop1190, stop278, stop282, stop2592, stop2705, stop2260, stop1047, stop2185, stop1134, stop1101, stop853, stop1659, stop2699, stop1359, stop1438, stop601, stop2649, stop7, stop448, stop2534, stop2721, stop2603, stop2205, stop2666, stop1357, stop2204, stop30, stop772, stop848, stop2229, stop1622, stop1294, stop2492, stop1585"
route105,CTA 727-1103,0,"stop1982, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop8, stop540, stop2274, stop832, stop1732, stop2199, stop1296, stop2281, stop186, stop284, stop1058, stop280, stop2052, stop1191, stop1657, stop1766, stop1520, stop2439, stop635, stop268, stop2642, stop365, stop2447, stop1020, stop835, stop2061, stop2630, stop97, stop1899, stop2120, stop1384, stop1745, stop1967"
route105,CTA 727-1103,1,"stop1746, stop1385, stop2121, stop1898, stop558, stop556, stop1900, stop96, stop2629, stop836, stop1019, stop735, stop2643, stop267, stop634, stop1056, stop1054, stop1521, stop1743, stop1516, stop1765, stop1658, stop1190, stop278, stop2053, stop281, stop2291, stop40, stop1059, stop1016, stop187, stop2280, stop1295, stop2200, stop1733, stop566, stop833, stop2275, stop541, stop4, stop448, stop2534, stop2721, stop2603, stop2205, stop2666, stop1357, stop2204, stop30, stop772, stop848, stop2229, stop1622, stop1294, stop2492, stop1585"
route106,CTA 1161,1,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop8, stop540, stop2274, stop832, stop1732, stop2199, stop1296, stop2281, stop186, stop284, stop1058, stop40, stop2289, stop762, stop981, stop2462, stop1911, stop1288, stop1840, stop174, stop2398, stop747, stop1817, stop577, stop1801, stop339, stop2068, stop1431, stop2063, stop1704, stop1391, stop521, stop1194, stop1197, stop1396, stop180, stop1382, stop1487, stop1500, stop1506, stop1489, stop1333, stop2156, stop659, stop965, stop2393, stop2008"
route107,Minibus 12,0,"stop1584, stop2491, stop1621, stop780, stop776, stop681, stop773, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop4, stop2648, stop602, stop1437, stop1358, stop69, stop2548, stop1957, stop877, stop2253, stop632, stop876, stop1484, stop2566, stop436, stop1756, stop1139, stop2400, stop435, stop1404, stop2377, stop1347, stop173, stop1615, stop2114, stop411, stop555, stop551, stop2542, stop159, stop451, stop2030"
route107,Minibus 12,1,"stop2029, stop452, stop160, stop2541, stop552, stop412, stop2115, stop172, stop1348, stop2399, stop1755, stop437, stop1562, stop1752, stop1485, stop874, stop2503, stop631, stop2252, stop878, stop1956, stop2547, stop2724, stop269, stop64, stop70, stop1359, stop1438, stop601, stop2649, stop7, stop448, stop2534, stop2721, stop2603, stop2205, stop2666, stop1357, stop2204, stop30, stop772, stop848, stop2229, stop1622, stop1294, stop2492, stop1585"
route108,Minibus 180,0,"stop1982, stop2535, stop2635, stop2665, stop2602, stop2720, stop447, stop646, stop8, stop540, stop2274, stop832, stop1732, stop2199, stop1296, stop1822, stop2232, stop333, stop1049, stop193, stop1045, stop2262, stop2706, stop2591, stop283, stop1657, stop1766, stop803, stop873, stop849, stop2130, stop1269, stop2224, stop2125, stop2671, stop128, stop2031, stop2027, stop778, stop769, stop2480, stop793, stop2502, stop739, stop815, stop1263, stop1747"
route108,Minibus 180,1,"stop1746, stop1264, stop816, stop738, stop792, stop983, stop779, stop26, stop125, stop2670, stop2124, stop1268, stop2129, stop804, stop1523, stop1521, stop1743, stop1516, stop1765, stop1658, stop1190, stop762, stop278, stop282, stop2592, stop2705, stop2260, stop1047, stop1050, stop334, stop2231, stop1295, stop2200, stop1733, stop566, stop833, stop2275, stop541, stop4, stop448, stop2534, stop2603, stop2205, stop2666, stop1357, stop2204, stop1983"
route109,Tomnaya,1,"stop2714, stop1713, stop2228, stop2044"
route11,Microbus,0,"stop940, stop358, stop1330, stop1872, stop264, stop1866, stop2200, stop1733, stop566"
route11,Microbus,1,"stop6, stop540, stop2274, stop832, stop1732, stop2199, stop1867, stop957, stop1329, stop357, stop2632, stop942"
route110,Microbus,1,"stop2020, stop2323, stop663, stop2191, stop1754, stop842, stop1332, stop1849, stop1853, stop1833, stop2128, stop1693, stop2331, stop2384, stop2050, stop1163, stop843"
route111,CTA 1137,0,"stop43, stop992, stop1453, stop2078, stop2167, stop734, stop49, stop387, stop2488, stop238, stop240, stop2646, stop1466, stop1166, stop1099, stop1144, stop1312, stop1183, stop2112, stop2616, stop1342, stop169, stop2683, stop1178, stop1862, stop1033, stop1772, stop500, stop432, stop471, stop244, stop2397, stop746, stop2237, stop821, stop311, stop955, stop1069, stop1188, stop2001, stop2508, stop1991, stop109"
route111,CTA 1137,1,"stop103, stop2472, stop1715, stop1702, stop2064, stop1430, stop514, stop512, stop467, stop1939, stop2347, stop2719, stop2334, stop701, stop1374, stop1376, stop1379, stop1863, stop1179, stop2685, stop1213, stop168, stop1341, stop2697, stop2617, stop2511, stop1182, stop2647, stop241, stop237, stop2487, stop386, stop49, stop734, stop2168, stop2737, stop1454, stop993, stop2147, stop42"
route112,CTA 1018,0,"stop43, stop992, stop1453, stop2078, stop2167, stop734, stop49, stop387, stop2488, stop238, stop240, stop2646, stop1466, stop1166, stop1099, stop1144, stop1312, stop1183, stop579, stop1217, stop784, stop2213, stop362, stop40, stop2289, stop762, stop2288, stop2536, stop90, stop87, stop1258, stop84, stop89, stop1400, stop331, stop1782, stop1479, stop567, stop1254, stop2295, stop482, stop198"
route112,CTA 1018,1,"stop198, stop189, stop211, stop2283, stop2294, stop1255, stop568, stop1478, stop213, stop329, stop643, stop81, stop1259, stop86, stop2537, stop2287, stop2290, stop346, stop569, stop2212, stop785, stop782, stop1925, stop580, stop578, stop518, stop1182, stop1313, stop1465, stop2647, stop241, stop237, stop2487, stop386, stop49, stop734, stop2168, stop2737, stop1454, stop993, stop2147, stop42"
route113,CTA 1064,0,"stop43, stop992, stop1453, stop2078, stop2167, stop734, stop49, stop387, stop2488, stop238, stop240, stop2646, stop1466, stop1166, stop1099, stop1144, stop1312, stop1183, stop1185, stop1635, stop2206, stop2713, stop2602, stop2720, stop447, stop646, stop8, stop540, stop2274, stop832, stop1732, stop2199, stop1296, stop2281, stop186, stop284, stop1058, stop280, stop2052, stop282, stop2706, stop2591, stop278, stop763, stop2288, stop2536, stop90, stop87, stop1258, stop84, stop89, stop1400, stop331, stop1782, stop1479, stop567, stop1254, stop2295, stop2282, stop1224, stop1025"
route113,CTA 1064,1,"stop1025, stop1354, stop2283, stop2294, stop1255, stop568, stop1478, stop213, stop329, stop643, stop82, stop88, stop86, stop2537, stop2287, stop762, stop279, stop2053, stop281, stop2291, stop40, stop1059, stop1016, stop187, stop2280, stop1295, stop2200, stop1733, stop566, stop833, stop2275, stop541, stop4, stop448, stop2534, stop2603, stop2716, stop2208, stop1184, stop1182, stop1313, stop1465, stop2647, stop241, stop237, stop2487, stop386, stop49, stop734, stop2168, stop2737, stop1454, stop993, stop2147, stop42"
route114,CTA 1111,0,"stop1746, stop1385, stop2121, stop1898, stop558, stop557, stop1723, stop714, stop929, stop2440, stop1521, stop1743, stop1516, stop1765, stop1658, stop1190, stop278, stop2053, stop281, stop2291, stop40, stop1059, stop1016, stop187, stop878, stop1956, stop2547, stop2724, stop64, stop269, stop2215, stop472, stop1928, stop2194, stop1434, stop2055, stop580, stop578, stop518, stop1182, stop1313, stop1465, stop2647, stop241, stop237, stop2487, stop386, stop503, stop2168, stop2737, stop1454, stop993, stop2147, stop42"
route114,CTA 1111,1,"stop43, stop992, stop1453, stop2078, stop2167, stop734, stop49, stop387, stop2488, stop238, stop240, stop2646, stop1466, stop1166, stop1099, stop1144, stop1312, stop1183, stop579, stop1217, stop784, stop2213, stop64, stop69, stop2548, stop1957, stop877, stop1748, stop186, stop284, stop1058, stop280, stop2052, stop1191, stop1657, stop1766, stop2441, stop1520, stop2439, stop1839, stop928, stop141, stop713, stop1899, stop2120, stop1384, stop1745"
route115,CTA 1,0,"stop43, stop992, stop1453, stop1421, stop2037, stop232, stop1151, stop1167, stop1099, stop1144, stop1312, stop1183, stop1185, stop1635, stop2206, stop2714, stop1713, stop2228, stop196, stop732, stop2406, stop716, stop2324, stop2042, stop562, stop367, stop2339, stop2096, stop2092"
route115,CTA 1,1,"stop2091, stop2340, stop668, stop561, stop2043, stop123, stop715, stop2408, stop731, stop195, stop2208, stop1184, stop1182, stop1313, stop1166, stop1152, stop233, stop2038, stop1422, stop42"
route116,CTA 1122,0,"stop1366, stop685, stop2178, stop1, stop2033, stop2032, stop2179, stop265, stop1730, stop2093, stop2340, stop668, stop561, stop2043, stop123, stop715, stop2408, stop731, stop195, stop2525, stop2227, stop2207, stop1182, stop2647, stop241, stop237, stop2487, stop386, stop49, stop734, stop2168, stop2737, stop1454, stop993, stop2147, stop42"
route116,CTA 1122,1,"stop43, stop992, stop1453, stop2078, stop2167, stop734, stop49, stop387, stop2488, stop238, stop240, stop2646, stop1466, stop1166, stop1099, stop1144, stop1312, stop1183, stop1185, stop1635, stop2206, stop2714, stop1713, stop2228, stop2526, stop196, stop732, stop2406, stop716, stop2324, stop2042, stop562, stop367"
route117,CTA 1013,0,"stop2704, stop2301, stop1365, stop317, stop1768, stop767, stop2597, stop2655, stop2297, stop2172, stop469, stop440, stop1602, stop616, stop337, stop2279, stop856, stop1598, stop58, stop1307, stop55, stop831, stop1149, stop594, stop1959, stop1275, stop1823, stop1988, stop1678, stop2109, stop2041, stop706, stop2731, stop1228, stop1611, stop2365, stop939, stop523, stop533, stop301, stop2337, stop2338, stop1001, stop1776, stop2659, stop2726, stop741, stop2218, stop1154, stop1887, stop103"
route117,CTA 1013,1,"stop108, stop1153, stop2219, stop740, stop1929, stop2658, stop1000, stop2345, stop302, stop532, stop524, stop938, stop2366, stop1610, stop1227, stop2730, stop1446, stop2039, stop2108, stop1679, stop1987, stop1824, stop1274, stop1958, stop595, stop1148, stop829, stop65, stop1293, stop1813, stop1597, stop855, stop2278, stop338, stop617, stop1601, stop439, stop468, stop2173, stop2298, stop2654, stop2598, stop766, stop1769, stop318, stop1364, stop2302, stop2703"
route118,Tomnaya,0,"stop52, stop2704, stop2301, stop1365, stop317, stop1768, stop767, stop2597, stop2655, stop2297, stop2172, stop469, stop440, stop1602, stop616, stop337, stop2279, stop856, stop1598, stop58, stop1307, stop55, stop831, stop1147, stop1146, stop596, stop1145, stop1275, stop1958, stop595, stop1148, stop829, stop54, stop65, stop1293, stop1816, stop1726, stop1234, stop2520, stop1265, stop979, stop2598, stop766, stop1769, stop318, stop1364, stop2302, stop2703, stop53, stop587, stop2411, stop1306"
route118,Tomnaya,1,"stop596, stop1145, stop1275, stop1958, stop595, stop1148, stop829, stop54, stop65, stop1293, stop1814, stop1597, stop855, stop2278, stop338, stop617, stop1601, stop439, stop468, stop2173, stop2298, stop2654, stop2597, stop766, stop1769, stop318, stop1364, stop2302, stop2703, stop53, stop1305, stop2410, stop586, stop52, stop2704, stop2301, stop1365, stop317, stop1768, stop767, stop2597, stop2655, stop2297, stop2172, stop469, stop440, stop1602, stop616, stop337, stop2279, stop856, stop1598, stop58, stop1307, stop55, stop831, stop1147, stop1146"
route119,Box,0,"stop546, stop2638, stop1960, stop1270"
route119,Box,1,"stop1270, stop1961, stop2639, stop547"
route12,Microbus,0,"stop1052, stop334, stop2231, stop1822, stop1295, stop2200, stop1733, stop566, stop2275, stop541"
