trip_id,stop_id,stop_sequence,route_id,direction_id
trip1,stop1898,0,route104,1
trip1,stop559,1,route104,1
trip1,stop557,2,route104,1
trip1,stop1723,3,route104,1
trip1,stop714,4,route104,1
trip1,stop929,5,route104,1
trip1,stop2440,6,route104,1
trip1,stop1521,7,route104,1
trip1,stop1743,8,route104,1
trip1,stop1516,9,route104,1
trip1,stop1765,10,route104,1
trip1,stop1658,11,route104,1
trip1,stop1190,12,route104,1
trip1,stop278,13,route104,1
trip1,stop282,14,route104,1
trip1,stop2592,15,route104,1
trip1,stop2705,16,route104,1
trip1,stop2260,17,route104,1
trip1,stop1047,18,route104,1
trip1,stop2185,19,route104,1
trip1,stop1134,20,route104,1
trip1,stop1101,21,route104,1
trip1,stop853,22,route104,1
trip1,stop1659,23,route104,1
trip1,stop2699,24,route104,1
trip1,stop1359,25,route104,1
trip1,stop1438,26,route104,1
trip1,stop601,27,route104,1
trip1,stop2649,28,route104,1
trip1,stop7,29,route104,1
trip1,stop448,30,route104,1
trip1,stop2534,31,route104,1
trip1,stop2721,32,route104,1
trip1,stop2603,33,route104,1
trip1,stop2205,34,route104,1
trip1,stop2666,35,route104,1
trip1,stop1357,36,route104,1
trip1,stop2204,37,route104,1
trip1,stop30,38,route104,1
trip1,stop772,39,route104,1
trip1,stop848,40,route104,1
trip1,stop2229,41,route104,1
trip1,stop1622,42,route104,1
trip1,stop1294,43,route104,1
trip1,stop2492,44,route104,1
trip1,stop1585,45,route104,1
trip2,stop1584,0,route104,0
trip2,stop2491,1,route104,0
trip2,stop1621,2,route104,0
trip2,stop780,3,route104,0
trip2,stop776,4,route104,0
trip2,stop681,5,route104,0
trip2,stop773,6,route104,0
trip2,stop2535,7,route104,0
trip2,stop2635,8,route104,0
trip2,stop2665,9,route104,0
trip2,stop2602,10,route104,0
trip2,stop2720,11,route104,0
trip2,stop447,12,route104,0
trip2,stop646,13,route104,0
trip2,stop4,14,route104,0
trip2,stop2648,15,route104,0
trip2,stop602,16,route104,0
trip2,stop1437,17,route104,0
trip2,stop1358,18,route104,0
trip2,stop2700,19,route104,0
trip2,stop1660,20,route104,0
trip2,stop80,21,route104,0
trip2,stop852,22,route104,0
trip2,stop1102,23,route104,0
trip2,stop1133,24,route104,0
trip2,stop2186,25,route104,0
trip2,stop1045,26,route104,0
trip2,stop2262,27,route104,0
trip2,stop2706,28,route104,0
trip2,stop2591,29,route104,0
trip2,stop283,30,route104,0
trip2,stop1191,31,route104,0
trip2,stop1657,32,route104,0
trip2,stop1766,33,route104,0
trip2,stop1520,34,route104,0
trip2,stop2439,35,route104,0
trip2,stop1839,36,route104,0
trip2,stop928,37,route104,0
trip2,stop141,38,route104,0
trip2,stop713,39,route104,0
trip2,stop343,40,route104,0
trip2,stop458,41,route104,0
trip2,stop556,42,route104,0
trip2,stop559,43,route104,0
trip3,stop1107,0,route477,0
trip3,stop382,1,route477,0
trip3,stop998,2,route477,0
trip4,stop998,0,route477,1
trip4,stop1108,1,route477,1
trip5,stop1053,0,route589,1
trip5,stop1201,1,route589,1
trip6,stop1201,0,route589,0
trip6,stop2734,1,route589,0
trip7,stop2686,0,route289,1
trip7,stop1819,1,route289,1
trip7,stop385,2,route289,1
trip7,stop1325,3,route289,1
trip7,stop824,4,route289,1
trip7,stop494,5,route289,1
trip7,stop517,6,route289,1
trip7,stop970,7,route289,1
trip7,stop1759,8,route289,1
trip7,stop2688,9,route289,1
trip7,stop2499,10,route289,1
trip7,stop1393,11,route289,1
trip7,stop1401,12,route289,1
trip7,stop575,13,route289,1
trip7,stop2683,14,route289,1
trip7,stop1178,15,route289,1
trip7,stop1862,16,route289,1
trip7,stop1033,17,route289,1
trip7,stop1772,18,route289,1
trip7,stop500,19,route289,1
trip7,stop432,20,route289,1
trip7,stop471,21,route289,1
trip7,stop244,22,route289,1
trip7,stop2397,23,route289,1
trip7,stop746,24,route289,1
trip7,stop2237,25,route289,1
trip7,stop821,26,route289,1
trip7,stop1231,27,route289,1
trip7,stop758,28,route289,1
trip7,stop2236,29,route289,1
trip7,stop860,30,route289,1
trip7,stop205,31,route289,1
trip7,stop1188,32,route289,1
trip7,stop2001,33,route289,1
trip7,stop2508,34,route289,1
