route_id,route_short_name,route_long_name
route1,Box,10th District Station (6th of October) - 6th District - 6th of October (Al Souq Al Qadeem)
route2,Tomnaya,10th District Station (6th of October) - Hossary Station
route3,Tomnaya,10th District Station (6th of October) - Hossary Station
route4,Box,10th District Station (6th of October) - Laylat Al Qadr Station
route5,Tomnaya,10th District Station (6th of October) - Magda Square
route6,Microbus,10th District Station (Nasr City) - 10th of Ramadan Station
route7,Microbus,10th District Station (Nasr City) - 1st Settlement Station (New Cairo)
route8,Microbus,10th District Station (Nasr City) - 7th District Station (Nasr City)
route9,Tomnaya,10th District Station (Nasr City) - 8th District (Nasr City) - Al tabba
route10,Microbus,10th District Station (Nasr City) - Al Shabab Entrance
route11,Microbus,10th District Station (Nasr City) - Alf Maskan Station
route12,Microbus,10th District Station (Nasr City) - Awwel Makram Ebeid
route13,CTA 80,10th District Station (Nasr City) - Darrasa
route14,CTA 80s,10th District Station (Nasr City) - Darrasa
route15,Microbus,10th District Station (Nasr City) - Fue
route16,Microbus,10th District Station (Nasr City) - Gas (Banks Area)
route17,Microbus,10th District Station (Nasr City) - Hadaba Wosta (Moqattam)
route18,Microbus,10th District Station (Nasr City) - Moneeb Station
route19,Microbus,10th District Station (Nasr City) - Moneeb Station
route20,Tomnaya,10th District Station (Nasr City) - New Cairo Academy
route21,Microbus,10th District Station (Nasr City) - New Cairo Court Station
route22,Microbus,10th District Station (Nasr City) - New Marg Station
route23,Microbus,10th District Station (Nasr City) - New Marg Station
route24,Microbus,10th District Station (Nasr City) - Ommal Square Station
route25,Minibus,10th District Station (Nasr City) - Qalyoub Exit
route26,Microbus,10th District Station (Nasr City) - Ramses Station
route27,Microbus,10th District Station (Nasr City) - Rehab - Gate 6
route28,Microbus,10th District Station (Nasr City) - Zahraa Madinet Nasr
route29,Microbus,10th of Ramadan City - 10th of Ramadan Station
route30,Microbus,10th of Ramadan City - Al Shorouq Academy Station
route31,CTA 323,10th of Ramadan Station - Abd Al Moneim Riad Station
route32,Microbus,10th of Ramadan Station - Ahmed Helmy Station
route33,Microbus,10th of Ramadan Station - Al Banhawi
route34,Minibus,10th of Ramadan Station - Al Hamd Square Station
route35,Microbus,10th of Ramadan Station - Al Hegaz (Obour Police )
route36,Microbus,10th of Ramadan Station - Al Sawah Square
route37,Microbus,10th of Ramadan Station - Al Sayeda Aisha Station
route38,Microbus,10th of Ramadan Station - Al Shorouq Academy Station
route39,Microbus,10th of Ramadan Station - Al Shorouq Water
route40,Microbus,10th of Ramadan Station - Alf Maskan Station
route41,Microbus,10th of Ramadan Station - Alf Maskan Station
route42,Minibus 106,10th of Ramadan Station - Attaba
route43,Microbus,10th of Ramadan Station - Awwel Abbas
route44,Minibus,10th of Ramadan Station - Awwel Al Zawya Al Hamra Station
route45,Microbus,10th of Ramadan Station - Awwel Makram Ebeid
route46,CTA 317,10th of Ramadan Station - Badr City
route47,Minibus 219,10th of Ramadan Station - Bashtil
route48,Minibus,10th of Ramadan Station - Fue
route49,Minibus,10th of Ramadan Station - Gas (Banks Area)
route50,Microbus,10th of Ramadan Station - Hadaba Wosta (Moqattam)
route51,Microbus,10th of Ramadan Station - Haram & Marioteya Station
route52,Microbus,10th of Ramadan Station - Helwan Metro
route53,Microbus,10th of Ramadan Station - Helwan Station
route54,Minibus,10th of Ramadan Station - Hyper 1 Station
