trip_id,stop_id,stop_sequence
trip1,stop1898,0
trip1,stop559,1
trip1,stop557,2
trip1,stop1723,3
trip1,stop714,4
trip1,stop929,5
trip1,stop2440,6
trip1,stop1521,7
trip1,stop1743,8
trip1,stop1516,9
trip1,stop1765,10
trip1,stop1658,11
trip1,stop1190,12
trip1,stop278,13
trip1,stop282,14
trip1,stop2592,15
trip1,stop2705,16
trip1,stop2260,17
trip1,stop1047,18
trip1,stop2185,19
trip1,stop1134,20
trip1,stop1101,21
trip1,stop853,22
trip1,stop1659,23
trip1,stop2699,24
trip1,stop1359,25
trip1,stop1438,26
trip1,stop601,27
trip1,stop2649,28
trip1,stop7,29
trip1,stop448,30
trip1,stop2534,31
trip1,stop2721,32
trip1,stop2603,33
trip1,stop2205,34
trip1,stop2666,35
trip1,stop1357,36
trip1,stop2204,37
trip1,stop30,38
trip1,stop772,39
trip1,stop848,40
trip1,stop2229,41
trip1,stop1622,42
trip1,stop1294,43
trip1,stop2492,44
trip1,stop1585,45
trip2,stop1584,0
trip2,stop2491,1
trip2,stop1621,2
trip2,stop780,3
trip2,stop776,4
trip2,stop681,5
trip2,stop773,6
trip2,stop2535,7
trip2,stop2635,8
trip2,stop2665,9
trip2,stop2602,10
trip2,stop2720,11
trip2,stop447,12
trip2,stop646,13
trip2,stop4,14
trip2,stop2648,15
trip2,stop602,16
trip2,stop1437,17
trip2,stop1358,18
trip2,stop2700,19
trip2,stop1660,20
trip2,stop80,21
trip2,stop852,22
trip2,stop1102,23
trip2,stop1133,24
trip2,stop2186,25
trip2,stop1045,26
trip2,stop2262,27
trip2,stop2706,28
trip2,stop2591,29
trip2,stop283,30
trip2,stop1191,31
trip2,stop1657,32
trip2,stop1766,33
trip2,stop1520,34
trip2,stop2439,35
trip2,stop1839,36
trip2,stop928,37
trip2,stop141,38
trip2,stop713,39
trip2,stop343,40
trip2,stop458,41
trip2,stop556,42
trip2,stop559,43
trip3,stop1107,0
trip3,stop382,1
trip3,stop998,2
trip4,stop998,0
trip4,stop1108,1
trip5,stop1053,0
trip5,stop1201,1
trip6,stop1201,0
trip6,stop2734,1
trip7,stop2686,0
trip7,stop1819,1
trip7,stop385,2
trip7,stop1325,3
trip7,stop824,4
trip7,stop494,5
trip7,stop517,6
trip7,stop970,7
trip7,stop1759,8
trip7,stop2688,9
trip7,stop2499,10
trip7,stop1393,11
trip7,stop1401,12
trip7,stop575,13
trip7,stop2683,14
trip7,stop1178,15
trip7,stop1862,16
trip7,stop1033,17
trip7,stop1772,18
trip7,stop500,19
trip7,stop432,20
trip7,stop471,21
trip7,stop244,22
trip7,stop2397,23
trip7,stop746,24
trip7,stop2237,25
trip7,stop821,26
trip7,stop1231,27
trip7,stop758,28
trip7,stop2236,29
trip7,stop860,30
trip7,stop205,31
trip7,stop1188,32
trip7,stop2001,33
trip7,stop2508,34
trip7,stop1991,35
trip7,stop105,36
trip7,stop2584,37
trip7,stop208,38
trip7,stop2284,39
trip7,stop2296,40
trip7,stop212,41
trip7,stop199,42
trip8,stop198,0
trip8,stop188,1
trip8,stop1943,2
trip8,stop211,3
trip8,stop207,4
trip8,stop1661,5
trip8,stop1452,6
trip8,stop104,7
trip8,stop2551,8
trip8,stop2119,9
trip8,stop114,10
trip8,stop206,11
trip8,stop859,12
trip8,stop2235,13
trip8,stop758,14
trip8,stop1231,15
trip8,stop2237,16
trip8,stop742,17
trip8,stop1036,18
trip8,stop470,19
trip8,stop431,20
trip8,stop501,21
trip8,stop1773,22
trip8,stop1034,23
trip8,stop2420,24
trip8,stop1039,25
trip8,stop2622,26
trip8,stop1863,27
trip8,stop1177,28
trip8,stop560,29
trip8,stop1213,30
trip8,stop168,31
trip8,stop2198,32
trip8,stop574,33
trip8,stop1402,34
trip8,stop1392,35
trip8,stop2500,36
trip8,stop2687,37
trip8,stop1758,38
trip8,stop969,39
trip8,stop516,40
trip8,stop493,41
trip8,stop823,42
trip8,stop1324,43
trip8,stop2097,44
trip8,stop1018,45
trip9,stop2450,0
trip9,stop1241,1
trip9,stop990,2
trip9,stop1080,3
trip9,stop1256,4
trip9,stop1473,5
trip9,stop415,6
trip9,stop2250,7
trip9,stop1588,8
trip9,stop2406,9
trip9,stop2404,10
trip10,stop1003,0
trip10,stop1973,1
trip10,stop1174,2
trip10,stop2342,3
trip10,stop2623,4
trip10,stop904,5
trip10,stop900,6
trip10,stop314,7
trip10,stop3,8
trip10,stop478,9
trip10,stop2258,10
trip10,stop1368,11
trip10,stop1128,12
trip10,stop759,13
trip10,stop304,14
trip10,stop1458,15
trip10,stop248,16
trip10,stop844,17
trip10,stop2049,18
trip10,stop2383,19
trip10,stop2333,20
trip10,stop1694,21
trip10,stop2127,22
trip10,stop1834,23
trip10,stop1852,24
trip10,stop2321,25
trip10,stop2322,26
trip10,stop1314,27
trip10,stop1590,28
trip10,stop729,29
trip10,stop2506,30
trip10,stop1336,31
trip10,stop1825,32
trip10,stop2662,33
trip10,stop597,34
trip10,stop600,35
trip10,stop370,36
trip10,stop1791,37
trip10,stop443,38
trip10,stop446,39
trip10,stop315,40
trip10,stop573,41
trip10,stop920,42
trip10,stop1040,43
trip10,stop921,44
trip10,stop1305,45
trip10,stop2410,46
trip10,stop586,47
trip11,stop52,0
trip11,stop2704,1
trip11,stop2301,2
trip11,stop1365,3
trip11,stop317,4
trip11,stop1768,5
trip11,stop767,6
trip11,stop2597,7
trip11,stop2655,8
trip11,stop2297,9
trip11,stop2172,10
trip11,stop469,11
trip11,stop440,12
trip11,stop1602,13
trip11,stop616,14
trip11,stop337,15
trip11,stop2279,16
trip11,stop856,17
trip11,stop1598,18
trip11,stop58,19
trip11,stop1307,20
trip11,stop55,21
trip11,stop831,22
trip11,stop1149,23
trip11,stop594,24
trip11,stop1959,25
trip11,stop1275,26
trip11,stop1823,27
trip11,stop1988,28
trip11,stop1678,29
trip11,stop2109,30
trip11,stop2041,31
trip11,stop706,32
trip11,stop2731,33
trip11,stop1228,34
trip11,stop1611,35
trip11,stop2365,36
trip11,stop939,37
trip11,stop523,38
trip11,stop533,39
trip11,stop301,40
trip11,stop2337,41
trip11,stop37,42
trip11,stop249,43
trip11,stop1457,44
trip11,stop303,45
trip11,stop761,46
trip11,stop1127,47
trip11,stop1369,48
trip11,stop537,49
trip11,stop2257,50
trip11,stop479,51
trip11,stop2,52
trip11,stop905,53
trip11,stop899,54
trip11,stop2325,55
trip11,stop2624,56
trip11,stop2344,57
trip11,stop2246,58
trip11,stop1964,59
trip11,stop1974,60
trip11,stop1002,61
trip12,stop559,0
trip12,stop557,1
trip12,stop457,2
trip12,stop705,3
trip12,stop2392,4
trip12,stop710,5
trip12,stop711,6
trip12,stop2349,7
trip12,stop2585,8
trip12,stop1943,9
trip12,stop189,10
trip12,stop201,11
trip12,stop211,12
trip12,stop1224,13
trip12,stop1023,14
trip12,stop297,15
trip12,stop1189,16
trip12,stop205,17
trip12,stop323,18
trip12,stop954,19
trip12,stop310,20
trip12,stop822,21
trip12,stop2238,22
trip12,stop744,23
trip12,stop1636,24
trip12,stop1118,25
trip12,stop1116,26
trip12,stop1445,27
trip12,stop633,28
trip12,stop2435,29
trip13,stop2435,0
trip13,stop633,1
trip13,stop1112,2
trip13,stop1444,3
trip13,stop1118,4
trip13,stop1636,5
trip13,stop748,6
trip13,stop743,7
trip13,stop311,8
trip13,stop955,9
trip13,stop1069,10
trip13,stop1188,11
trip13,stop296,12
trip13,stop112,13
trip13,stop1025,14
trip13,stop1354,15
trip13,stop2296,16
trip13,stop212,17
trip13,stop202,18
trip13,stop188,19
trip13,stop1762,20
trip13,stop2300,21
trip13,stop2293,22
trip13,stop967,23
trip13,stop2350,24
trip13,stop712,25
trip13,stop709,26
trip13,stop2391,27
trip13,stop704,28
trip13,stop458,29
trip13,stop556,30
trip13,stop559,31
trip14,stop987,0
trip14,stop183,1
trip14,stop2267,2
trip14,stop718,3
trip14,stop1205,4
trip14,stop484,5
trip14,stop633,6
trip14,stop1112,7
trip14,stop1444,8
trip14,stop1117,9
trip14,stop2736,10
trip14,stop322,11
trip14,stop1118,12
trip14,stop1636,13
trip14,stop748,14
trip14,stop743,15
trip14,stop822,16
trip14,stop1231,17
trip14,stop758,18
trip14,stop2236,19
trip14,stop860,20
trip14,stop205,21
trip14,stop1188,22
trip14,stop296,23
trip14,stop581,24
trip14,stop2226,25
trip14,stop428,26
trip14,stop1073,27
trip14,stop298,28
trip14,stop1724,29
trip14,stop854,30
trip14,stop1480,31
trip14,stop1483,32
trip14,stop1418,33
trip14,stop1951,34
trip14,stop1955,35
trip14,stop1839,36
trip14,stop928,37
trip14,stop141,38
trip14,stop496,39
trip15,stop929,0
trip15,stop1054,1
trip15,stop1954,2
trip15,stop1950,3
trip15,stop1417,4
trip15,stop1482,5
trip15,stop1481,6
trip15,stop1075,7
trip15,stop1076,8
trip15,stop2155,9
trip15,stop1072,10
trip15,stop429,11
trip15,stop2225,12
trip15,stop297,13
trip15,stop1189,14
trip15,stop206,15
trip15,stop859,16
trip15,stop2235,17
trip15,stop758,18
trip15,stop1231,19
trip15,stop2237,20
trip15,stop745,21
trip15,stop1636,22
trip15,stop1118,23
trip15,stop322,24
trip15,stop2736,25
trip15,stop1117,26
trip15,stop1113,27
trip15,stop1445,28
trip15,stop633,29
trip15,stop483,30
trip15,stop1204,31
trip15,stop717,32
trip15,stop2266,33
trip15,stop986,34
trip16,stop1864,0
trip16,stop263,1
trip16,stop264,2
trip16,stop194,3
trip16,stop1051,4
trip16,stop696,5
trip16,stop1045,6
trip16,stop2262,7
trip16,stop632,8
trip16,stop876,9
trip16,stop1484,10
trip16,stop2566,11
trip16,stop858,12
trip16,stop62,13
trip16,stop1799,14
trip16,stop880,15
trip16,stop437,16
trip16,stop2356,17
trip16,stop612,18
trip16,stop2505,19
trip16,stop1008,20
trip16,stop1009,21
trip16,stop1742,22
trip16,stop231,23
trip16,stop226,24
trip16,stop94,25
trip16,stop89,26
trip16,stop1400,27
trip16,stop331,28
trip16,stop1782,29
trip16,stop1479,30
trip16,stop567,31
trip16,stop1254,32
trip16,stop2295,33
trip16,stop2296,34
trip16,stop212,35
trip16,stop2286,36
trip16,stop202,37
trip16,stop188,38
trip16,stop1762,39
trip16,stop2300,40
trip16,stop2293,41
trip16,stop967,42
trip16,stop2350,43
trip17,stop1290,0
trip17,stop712,1
trip17,stop709,2
trip17,stop2391,3
trip17,stop704,4
trip17,stop458,5
trip17,stop96,6
trip17,stop2629,7
trip17,stop836,8
trip17,stop1019,9
trip17,stop1268,10
trip17,stop2129,11
trip17,stop1143,12
trip17,stop1624,13
trip17,stop2569,14
trip17,stop2427,15
trip17,stop1474,16
trip17,stop2358,17
trip17,stop612,18
trip17,stop436,19
trip17,stop881,20
trip17,stop1800,21
trip17,stop2567,22
trip17,stop2131,23
trip17,stop170,24
trip17,stop1236,25
trip17,stop1866,26
trip18,stop364,0
trip18,stop326,1
trip18,stop1653,2
trip18,stop234,3
trip18,stop116,4
trip18,stop1510,5
trip18,stop733,6
trip18,stop2203,7
trip18,stop1258,8
trip18,stop84,9
trip18,stop93,10
trip18,stop227,11
trip18,stop230,12
trip18,stop1657,13
trip18,stop1765,14
trip18,stop640,15
trip18,stop2656,16
trip18,stop2164,17
trip18,stop1525,18
trip18,stop555,19
trip18,stop549,20
trip18,stop2546,21
trip18,stop160,22
trip18,stop1890,23
trip18,stop2003,24
trip18,stop542,25
trip18,stop2634,26
trip18,stop388,27
trip18,stop2461,28
trip18,stop768,29
trip19,stop768,0
trip19,stop2461,1
trip19,stop388,2
trip19,stop2634,3
trip19,stop542,4
trip19,stop2003,5
trip19,stop1890,6
trip19,stop159,7
trip19,stop2545,8
trip19,stop550,9
trip19,stop1524,10
trip19,stop2165,11
trip19,stop1623,12
trip19,stop2657,13
trip19,stop641,14
trip19,stop1516,15
trip19,stop1009,16
trip19,stop1742,17
trip19,stop231,18
trip19,stop226,19
trip19,stop94,20
trip19,stop81,21
trip19,stop674,22
trip19,stop115,23
trip19,stop214,24
trip19,stop325,25
trip19,stop363,26
trip19,stop430,27
trip19,stop1884,28
trip20,stop1366,0
trip20,stop685,1
trip20,stop265,2
trip20,stop2178,3
trip20,stop1,4
trip20,stop1092,5
trip20,stop2336,6
trip20,stop2475,7
trip20,stop1803,8
trip20,stop2327,9
trip20,stop2249,10
trip20,stop2244,11
trip20,stop2246,12
trip20,stop1964,13
trip20,stop1974,14
trip20,stop1002,15
trip20,stop2481,16
trip20,stop1971,17
trip20,stop101,18
trip21,stop100,0
trip21,stop1386,1
trip21,stop2482,2
trip21,stop1966,3
trip21,stop1003,4
trip21,stop1973,5
trip21,stop1174,6
trip21,stop2343,7
trip21,stop1804,8
trip21,stop2474,9
trip21,stop1373,10
trip21,stop1091,11
trip21,stop2032,12
trip21,stop2179,13
trip21,stop266,14
trip21,stop1730,15
trip21,stop1367,16
trip21,stop2093,17
trip22,stop1424,0
trip22,stop1470,1
trip22,stop1279,2
trip23,stop1281,0
trip23,stop1423,1
trip24,stop1242,0
trip24,stop2451,1
trip24,stop941,2
trip24,stop1875,3
trip24,stop608,4
trip24,stop553,5
trip24,stop2577,6
trip25,stop2008,0
trip25,stop2437,1
trip25,stop158,2
trip26,stop1830,0
trip26,stop2438,1
trip26,stop2016,2
trip27,stop1746,0
trip27,stop1264,1
trip27,stop816,2
trip27,stop738,3
trip27,stop792,4
trip27,stop983,5
trip27,stop779,6
trip27,stop26,7
trip27,stop2029,8
trip27,stop452,9
trip27,stop160,10
trip27,stop2541,11
trip27,stop552,12
trip27,stop412,13
trip27,stop2115,14
trip27,stop172,15
trip27,stop1348,16
trip27,stop1330,17
trip27,stop1872,18
trip27,stop956,19
trip27,stop1351,20
trip28,stop1352,0
trip28,stop957,1
trip28,stop1329,2
trip28,stop358,3
trip28,stop1404,4
trip28,stop2377,5
trip28,stop1347,6
trip28,stop173,7
trip28,stop2114,8
trip28,stop411,9
trip28,stop555,10
trip28,stop551,11
trip28,stop2542,12
trip28,stop159,13
trip28,stop451,14
trip28,stop2028,15
trip28,stop2027,16
trip28,stop778,17
trip28,stop769,18
trip28,stop2480,19
trip28,stop739,20
trip28,stop815,21
trip28,stop1263,22
trip28,stop1747,23
trip29,stop2239,0
trip29,stop2241,1
trip29,stop2247,2
trip29,stop1962,3
trip29,stop121,4
trip29,stop2246,5
trip29,stop1964,6
trip29,stop1974,7
trip29,stop1002,8
trip29,stop1968,9
trip29,stop2484,10
trip29,stop2101,11
trip29,stop1104,12
trip29,stop2060,13
trip29,stop1977,14
trip29,stop1698,15
trip29,stop1591,16
trip29,stop2352,17
trip29,stop2105,18
trip29,stop1007,19
trip29,stop1298,20
trip29,stop1245,21
trip29,stop260,22
trip29,stop917,23
trip29,stop1887,24
trip29,stop103,25
trip30,stop108,0
trip30,stop918,1
trip30,stop259,2
trip30,stop1246,3
trip30,stop1297,4
trip30,stop1006,5
trip30,stop2106,6
trip30,stop2351,7
trip30,stop1592,8
trip30,stop1697,9
trip30,stop1976,10
trip30,stop2059,11
trip30,stop1105,12
trip30,stop2102,13
trip30,stop2483,14
trip30,stop2478,15
trip30,stop1966,16
trip30,stop1003,17
trip30,stop1973,18
trip30,stop1174,19
trip30,stop122,20
trip30,stop1963,21
trip30,stop2248,22
trip30,stop2242,23
trip30,stop2240,24
trip31,stop2019,0
trip31,stop2104,1
trip31,stop2334,2
trip31,stop701,3
trip31,stop1374,4
trip31,stop1376,5
trip31,stop1379,6
trip31,stop1033,7
trip31,stop1772,8
trip31,stop500,9
trip31,stop432,10
trip31,stop471,11
trip31,stop1035,12
trip31,stop174,13
trip31,stop1841,14
trip31,stop1289,15
trip32,stop1288,0
trip32,stop1840,1
trip32,stop174,2
trip32,stop1036,3
trip32,stop470,4
trip32,stop431,5
trip32,stop501,6
trip32,stop1773,7
trip32,stop1034,8
trip32,stop2420,9
trip32,stop2056,10
trip32,stop2681,11
trip32,stop2622,12
trip32,stop1119,13
trip32,stop1378,14
trip32,stop1377,15
trip32,stop2126,16
trip32,stop1375,17
trip32,stop2335,18
trip32,stop2103,19
trip32,stop293,20
trip32,stop292,21
trip32,stop1941,22
trip32,stop2018,23
trip33,stop2095,0
trip33,stop1366,1
trip33,stop685,2
trip33,stop265,3
trip33,stop2178,4
trip33,stop1,5
trip33,stop1092,6
trip33,stop2336,7
trip33,stop2475,8
trip33,stop1803,9
trip33,stop2327,10
trip33,stop2249,11
trip33,stop2244,12
trip33,stop2342,13
trip33,stop2623,14
trip33,stop904,15
trip33,stop900,16
trip33,stop314,17
trip33,stop3,18
trip33,stop478,19
trip33,stop2258,20
trip33,stop1368,21
trip33,stop1128,22
trip33,stop759,23
trip33,stop304,24
trip33,stop1458,25
trip33,stop248,26
trip33,stop302,27
trip33,stop532,28
trip33,stop524,29
trip33,stop938,30
trip33,stop34,31
trip33,stop2072,32
trip33,stop2083,33
trip33,stop1548,34
trip33,stop1314,35
trip33,stop1590,36
trip33,stop729,37
trip33,stop2506,38
trip33,stop1336,39
trip33,stop1825,40
trip33,stop2662,41
trip33,stop597,42
trip33,stop600,43
trip33,stop370,44
trip33,stop1791,45
trip33,stop443,46
trip33,stop446,47
trip33,stop315,48
trip33,stop573,49
trip33,stop920,50
trip33,stop1040,51
trip33,stop921,52
trip33,stop1305,53
trip33,stop2410,54
trip33,stop586,55
trip34,stop52,0
trip34,stop2704,1
trip34,stop905,2
trip34,stop899,3
trip34,stop2325,4
trip34,stop2624,5
trip34,stop2341,6
trip34,stop2343,7
trip34,stop1804,8
trip34,stop2474,9
trip34,stop1373,10
trip34,stop1091,11
trip34,stop2032,12
trip34,stop2179,13
trip34,stop266,14
trip34,stop1730,15
trip34,stop1367,16
trip34,stop2093,17
trip35,stop1042,0
trip35,stop1746,1
trip35,stop1384,2
trip35,stop101,3
trip35,stop953,4
trip35,stop138,5
trip35,stop799,6
trip35,stop2645,7
trip35,stop222,8
trip35,stop2318,9
trip35,stop590,10
trip35,stop1062,11
trip36,stop1061,0
trip36,stop591,1
trip36,stop2319,2
trip36,stop221,3
trip36,stop2644,4
trip36,stop800,5
trip36,stop139,6
trip36,stop952,7
trip36,stop100,8
trip36,stop1745,9
trip36,stop1042,10
trip37,stop2716,0
trip37,stop2208,1
trip37,stop2112,2
trip37,stop2616,3
trip37,stop1111,4
trip37,stop1212,5
trip37,stop2684,6
trip37,stop1178,7
trip37,stop1862,8
trip37,stop1119,9
trip37,stop1378,10
trip37,stop1377,11
trip37,stop2126,12
trip37,stop1375,13
trip37,stop2335,14
trip37,stop2103,15
trip37,stop293,16
trip37,stop2323,17
trip37,stop663,18
trip37,stop2191,19
trip37,stop1754,20
trip37,stop842,21
trip37,stop1332,22
trip37,stop2396,23
trip37,stop2270,24
trip37,stop498,25
trip37,stop840,26
trip37,stop1683,27
trip37,stop1543,28
trip38,stop499,0
trip38,stop2269,1
trip38,stop2395,2
trip38,stop1331,3
trip38,stop841,4
trip38,stop1753,5
trip38,stop2192,6
trip38,stop662,7
trip38,stop2330,8
trip38,stop2104,9
trip38,stop2334,10
trip38,stop701,11
trip38,stop1374,12
trip38,stop1376,13
trip38,stop1379,14
trip38,stop1863,15
trip38,stop1179,16
trip38,stop2685,17
trip38,stop1213,18
trip38,stop1341,19
trip38,stop2697,20
trip38,stop2618,21
trip38,stop2111,22
trip38,stop1635,23
trip38,stop2206,24
trip38,stop2713,25
trip38,stop2602,26
trip38,stop2720,27
trip39,stop1924,0
trip39,stop2453,1
trip39,stop751,2
trip39,stop2066,3
trip39,stop405,4
trip39,stop417,5
trip39,stop2387,6
trip39,stop401,7
trip39,stop2633,8
trip39,stop1404,9
trip39,stop2377,10
trip39,stop434,11
trip39,stop2399,12
trip39,stop1755,13
trip39,stop437,14
trip39,stop2356,15
trip39,stop612,16
trip39,stop2505,17
trip39,stop1008,18
trip39,stop1009,19
trip39,stop1742,20
trip39,stop231,21
trip39,stop226,22
trip39,stop94,23
trip39,stop89,24
trip39,stop1400,25
trip39,stop331,26
trip39,stop1782,27
trip39,stop1479,28
trip39,stop567,29
trip39,stop1254,30
trip39,stop2295,31
trip39,stop2282,32
trip39,stop207,33
trip39,stop1661,34
trip39,stop1452,35
trip39,stop104,36
trip39,stop2160,37
trip39,stop2516,38
trip39,stop1686,39
trip39,stop936,40
trip39,stop1318,41
trip39,stop1321,42
trip40,stop1158,0
trip40,stop1320,1
trip40,stop1317,2
trip40,stop1685,3
trip40,stop2515,4
trip40,stop741,5
trip40,stop2218,6
trip40,stop1154,7
trip40,stop1887,8
trip40,stop103,9
trip40,stop2584,10
trip40,stop208,11
trip40,stop2283,12
trip40,stop2294,13
trip40,stop1255,14
trip40,stop568,15
trip40,stop1478,16
trip40,stop213,17
trip40,stop329,18
trip40,stop643,19
trip40,stop93,20
trip40,stop227,21
trip40,stop230,22
trip40,stop1744,23
trip40,stop1010,24
trip40,stop2631,25
trip40,stop2504,26
trip40,stop613,27
trip40,stop1563,28
trip40,stop436,29
trip40,stop1756,30
trip40,stop1139,31
trip40,stop2400,32
trip40,stop435,33
trip40,stop2378,34
trip40,stop1405,35
trip40,stop357,36
trip40,stop2632,37
trip40,stop400,38
trip40,stop2388,39
trip40,stop418,40
trip40,stop407,41
trip40,stop2065,42
trip40,stop750,43
trip40,stop2452,44
trip40,stop1923,45
trip41,stop926,0
trip41,stop1857,1
trip41,stop1477,2
trip42,stop1170,0
trip42,stop1858,1
trip42,stop926,2
trip42,stop1908,3
trip43,stop52,0
trip43,stop2704,1
trip43,stop2301,2
trip43,stop1365,3
trip43,stop317,4
trip43,stop1768,5
trip43,stop767,6
trip43,stop2597,7
trip43,stop2655,8
trip43,stop2297,9
trip43,stop2172,10
trip43,stop469,11
trip43,stop440,12
trip43,stop1602,13
trip43,stop616,14
trip43,stop337,15
trip43,stop2279,16
trip43,stop856,17
trip44,stop742,0
trip44,stop2397,1
trip44,stop2024,2
trip44,stop276,3
trip44,stop1886,4
trip44,stop2217,5
trip44,stop1806,6
trip44,stop2640,7
trip44,stop1395,8
trip44,stop92,9
trip44,stop1180,10
trip44,stop61,11
trip44,stop1030,12
trip44,stop1222,13
trip44,stop755,14
