route_id,trip_id,direction_id
route104,trip1,1
route104,trip2,0
route477,trip3,0
route477,trip4,1
route589,trip5,1
route589,trip6,0
route289,trip7,1
route289,trip8,0
route40,trip9,1
route130,trip10,1
route130,trip11,0
route546,trip12,1
route546,trip13,0
route425,trip14,1
route425,trip15,0
route605,trip16,0
route605,trip17,1
route471,trip18,0
route471,trip19,1
route213,trip20,0
route213,trip21,1
route596,trip22,1
route596,trip23,0
route792,trip24,0
route273,trip25,0
route273,trip26,1
route761,trip27,0
route761,trip28,1
route257,trip29,1
route257,trip30,0
route820,trip31,0
route820,trip32,1
route132,trip33,1
route132,trip34,0
route295,trip35,0
route295,trip36,1
route679,trip37,0
route679,trip38,1
route571,trip39,1
route571,trip40,0
route349,trip41,1
route349,trip42,0
route125,trip43,1
route37,trip44,1
route37,trip45,0
route78,trip46,1
route78,trip47,0
route91,trip48,0
route91,trip49,1
route591,trip50,0
route591,trip51,1
route782,trip52,0
route782,trip53,1
route357,trip54,0
route357,trip55,1
route231,trip56,1
route231,trip57,0
route365,trip58,0
route365,trip59,1
route731,trip60,1
route731,trip61,0
route394,trip62,1
route394,trip63,0
route642,trip64,0
route210,trip65,0
route210,trip66,1
route29,trip67,0
route29,trip68,1
route654,trip69,0
route654,trip70,1
route523,trip71,0
route523,trip72,1
route664,trip73,0
route664,trip74,1
route111,trip75,1
route111,trip76,0
route92,trip77,0
route92,trip78,1
route359,trip79,1
route359,trip80,0
route686,trip81,0
route686,trip82,1
route26,trip83,0
route26,trip84,1
route306,trip85,0
route203,trip86,1
route203,trip87,0
route217,trip88,0
route217,trip89,1
route83,trip90,1
route83,trip91,0
route671,trip92,0
route671,trip93,1
route735,trip94,1
route735,trip95,0
route728,trip96,0
route728,trip97,1
route449,trip98,1
route449,trip99,0
route32,trip100,0
route309,trip101,0
route309,trip102,1
route592,trip103,0
route592,trip104,1
route746,trip105,1
route746,trip106,0
route645,trip107,1
route645,trip108,0
route348,trip109,1
route348,trip110,0
route464,trip111,0
route866,trip112,0
route866,trip113,1
route177,trip114,0
route177,trip115,1
route636,trip116,0
route578,trip117,1
route578,trip118,0
route682,trip119,1
route682,trip120,0
route151,trip121,0
route151,trip122,1
route333,trip123,0
route333,trip124,1
route418,trip125,0
route418,trip126,1
route190,trip127,1
route363,trip128,0
route363,trip129,1
route582,trip130,1
route582,trip131,0
route836,trip132,0
route836,trip133,1
route795,trip134,1
route600,trip135,1
route600,trip136,0
route246,trip137,1
route246,trip138,0
route251,trip139,1
route251,trip140,0
route171,trip141,0
route171,trip142,1
route580,trip143,1
route580,trip144,0
route354,trip145,1
route354,trip146,0
route719,trip147,1
route719,trip148,0
route98,trip149,0
route98,trip150,1
route495,trip151,1
route495,trip152,0
route549,trip153,0
route549,trip154,1
route681,trip155,1
route681,trip156,0
route510,trip157,1
route510,trip158,0
route797,trip159,1
route797,trip160,0
route277,trip161,0
route277,trip162,1
route168,trip163,1
route168,trip164,0
route801,trip165,1
route801,trip166,0
route1,trip167,1
route1,trip168,0
route1,trip169,1
route1,trip170,0
route4,trip171,1
route4,trip172,0
route340,trip173,0
route340,trip174,1
route778,trip175,0
route778,trip176,1
route127,trip177,1
route127,trip178,0
route123,trip179,1
route123,trip180,0
route119,trip181,1
route119,trip182,0
route337,trip183,1
route337,trip184,0
route311,trip185,0
route311,trip186,1
route514,trip187,0
route514,trip188,1
route482,trip189,0
route482,trip190,1
route370,trip191,0
route370,trip192,1
route358,trip193,1
route358,trip194,0
route202,trip195,1
route647,trip196,0
route647,trip197,1
route637,trip198,0
route468,trip199,1
route480,trip200,1
route659,trip201,1
route563,trip202,1
route563,trip203,0
route660,trip204,0
route480,trip205,1
route480,trip206,0
route49,trip207,0
route48,trip208,0
route48,trip209,1
route853,trip210,0
route411,trip211,1
route327,trip212,0
route327,trip213,1
route848,trip214,0
route848,trip215,1
route713,trip216,1
route54,trip217,0
route34,trip218,0
route34,trip219,1
route25,trip220,0
route828,trip221,0
route828,trip222,1
route814,trip223,0
route814,trip224,1
route579,trip225,0
route736,trip226,0
route736,trip227,1
route530,trip228,0
route511,trip229,0
route402,trip230,1
route531,trip231,0
route531,trip232,1
route831,trip233,1
route747,trip234,1
route747,trip235,0
route833,trip236,0
route833,trip237,1
route543,trip238,1
route543,trip239,0
route284,trip240,0
route669,trip241,1
route669,trip242,0
route249,trip243,1
route249,trip244,0
route115,trip245,1
route115,trip246,0
route607,trip247,1
route607,trip248,0
route498,trip249,1
route498,trip250,0
route88,trip251,0
route405,trip252,1
route405,trip253,0
route112,trip254,1
route112,trip255,0
route99,trip256,0
route99,trip257,1
route165,trip258,1
route165,trip259,0
route120,trip260,1
route120,trip261,0
route302,trip262,1
route302,trip263,0
route75,trip264,0
route75,trip265,1
route235,trip266,1
route235,trip267,0
route506,trip268,0
route506,trip269,1
route724,trip270,0
route228,trip271,1
route228,trip272,0
route488,trip273,1
route488,trip274,0
route148,trip275,1
route148,trip276,0
route504,trip277,1
route504,trip278,0
route516,trip279,0
route516,trip280,1
route113,trip281,1
route113,trip282,0
route464,trip283,1
route503,trip284,1
route100,trip285,1
route100,trip286,0
route242,trip287,1
route242,trip288,0
route255,trip289,1
route255,trip290,0
route280,trip291,0
route280,trip292,1
route74,trip293,1
route74,trip294,0
route146,trip295,0
route146,trip296,1
route720,trip297,0
route720,trip298,1
route634,trip299,0
route634,trip300,1
route155,trip301,1
route155,trip302,0
route576,trip303,1
route576,trip304,0
route485,trip305,1
route485,trip306,0
route457,trip307,1
route457,trip308,0
route204,trip309,1
route204,trip310,0
route85,trip311,0
route85,trip312,1
route729,trip313,1
route176,trip314,1
route176,trip315,0
route816,trip316,0
route816,trip317,1
route508,trip318,1
route508,trip319,0
route243,trip320,0
route243,trip321,1
route76,trip322,1
route76,trip323,0
route655,trip324,0
route655,trip325,1
route106,trip326,1
route843,trip327,1
route843,trip328,0
route250,trip329,0
route250,trip330,1
route258,trip331,1
route258,trip332,0
route279,trip333,1
route279,trip334,0
route599,trip335,1
route599,trip336,0
route173,trip337,0
route191,trip338,1
route191,trip339,0
route140,trip340,0
route140,trip341,1
route515,trip342,0
route515,trip343,1
route183,trip344,0
route183,trip345,1
route454,trip346,1
route454,trip347,0
route46,trip348,0
route46,trip349,1
route343,trip350,1
route343,trip351,0
route427,trip352,1
route427,trip353,0
route755,trip354,0
route755,trip355,1
route331,trip356,0
route331,trip357,1
route297,trip358,1
route297,trip359,0
route185,trip360,0
route185,trip361,1
route601,trip362,1
route601,trip363,0
route491,trip364,1
route491,trip365,0
route262,trip366,1
route262,trip367,0
route802,trip368,1
route802,trip369,0
route650,trip370,0
route650,trip371,1
route588,trip372,1
route588,trip373,0
route509,trip374,1
route509,trip375,0
route186,trip376,1
route186,trip377,0
route497,trip378,0
route497,trip379,1
route483,trip380,1
route483,trip381,0
route161,trip382,0
route161,trip383,1
route766,trip384,0
route766,trip385,1
route90,trip386,1
route90,trip387,0
route787,trip388,1
route651,trip389,0
route651,trip390,1
route13,trip391,0
route13,trip392,1
route252,trip393,1
route252,trip394,0
route247,trip395,1
route247,trip396,0
route465,trip397,0
route812,trip398,0
route812,trip399,1
route398,trip400,1
route398,trip401,0
route179,trip402,1
route179,trip403,0
route261,trip404,1
route261,trip405,0
route726,trip406,0
route726,trip407,1
route150,trip408,0
route187,trip409,0
